"address","addressCity","addressState","addressStreet","addressZipcode","area","availabilityDate","baths","beds","brokerName","countryCurrency","hasAdditionalAttributions","id","isFeaturedListing","isHomeRec","isSaved","isUndisclosedAddress","isUserClaimingOwner","latLong/latitude","latLong/longitude","list","openHouseDescription","openHouseStartDate","price","shouldShowZestimateAsPrice","statusText","statusType","unformattedPrice","variableData/text","variableData/type","zpid"
"3131 N Central Ave #5017, Phoenix, AZ 85012","Phoenix","AZ","3131 N Central Ave #5017","85012","822",,"2","1","The Agency","$","true","284848412","false","false","false","false","false","33.485123","-112.072426","true","Open House - 10:00 AM - 1:00 PM","2024-05-30T10:00:00","$445,000","false","New construction","FOR_SALE","445000","Open: Thu. 10am-1pm","OPEN_HOUSE","284848412"
"24012 N 76th Pl, Scottsdale, AZ 85255","Scottsdale","AZ","24012 N 76th Pl","85255","2978",,"3","5","Launch Powered By Compass","$","true","55267099","false","false","false","false","false","33.704292","-111.91606","true","Open House - 0:00 - 3:00 PM","2024-06-02T12:00:00","$1,050,000","false","House for sale","FOR_SALE","1050000","Showcase","SHOWCASE","55267099"
"4501 E Cheery Lynn Rd, Phoenix, AZ 85018","Phoenix","AZ","4501 E Cheery Lynn Rd","85018","3133",,"4","4","RETSY","$","true","92351108","false","false","false","false","false","33.484913","-111.983795","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$1,885,000","false","House for sale","FOR_SALE","1885000","Open: Sat. 11am-2pm","OPEN_HOUSE","92351108"
"6793 W Tether Trl, Peoria, AZ 85383","Peoria","AZ","6793 W Tether Trl","85383","2824",,"3","5","HomeSmart","$","true","7925506","false","false","false","false","false","33.723373","-112.2062","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$639,900","false","House for sale","FOR_SALE","639900","Open: Sat. 10am-2pm","OPEN_HOUSE","7925506"
"9708 E Via Linda UNIT 1315, Scottsdale, AZ 85258","Scottsdale","AZ","9708 E Via Linda UNIT 1315","85258","1038",,"2","2","Racquet Club Realty","$","true","8059951","false","false","false","false","false","33.572453","-111.87007","true","Open House - 8:30 - 11:30 AM","2024-06-01T08:30:00","$342,500","false","Apartment for sale","FOR_SALE","342500","Open: Sat. 8:30-11:30am","OPEN_HOUSE","8059951"
"2606 E Fawn Dr, Phoenix, AZ 85042","Phoenix","AZ","2606 E Fawn Dr","85042","1309",,"2","3","eXp Realty","$","true","8140212","false","false","false","false","false","33.375423","-112.02701","true","Open House - 2:00 - 5:00 PM","2024-05-31T14:00:00","$405,000","false","House for sale","FOR_SALE","405000","Open: Fri. 2-5pm","OPEN_HOUSE","8140212"
"5757 W Eugie Ave UNIT 1105, Glendale, AZ 85304","Glendale","AZ","5757 W Eugie Ave UNIT 1105","85304","909",,"2","2","Keller Williams Realty Professional Partners","$","true","67805696","false","false","false","false","false","33.608147","-112.18226","true","Open House - 4:00 - 6:00 PM","2024-05-31T16:00:00","$265,000","false","Apartment for sale","FOR_SALE","265000","Open: Fri. 4-6pm","OPEN_HOUSE","67805696"
"2050 W Dunlap Ave LOT B153, Phoenix, AZ 85021","Phoenix","AZ","2050 W Dunlap Ave LOT B153","85021","1232","2024-03-27 00:00:00","2","2",,"$","false","346188920","false","false","false","false","false","33.56986","-112.103004","true","Open House - 10:00 AM - 2:00 PM","2024-05-30T10:00:00","$98,500","false","Home for sale","FOR_SALE","98500","Open: Thu. 10am-2pm","OPEN_HOUSE","346188920"
"3807 N 30th St UNIT 43, Phoenix, AZ 85016","Phoenix","AZ","3807 N 30th St UNIT 43","85016","600",,"1","1","Opendoor Brokerage, LLC","$","true","72291367","false","false","false","false","false","33.492302","-112.015366","true","Open House - 8:00 AM - 7:30 PM","2024-05-30T08:00:00","$245,000","false","Apartment for sale","FOR_SALE","245000","Open: Thu. 8am-7:30pm","OPEN_HOUSE","72291367"
"16822 N 98th Pl, Scottsdale, AZ 85260","Scottsdale","AZ","16822 N 98th Pl","85260","3264",,"3","4","Keller Williams Integrity First","$","true","71600242","false","false","false","false","false","33.637474","-111.86924","true","Open House - 3:00 - 6:00 PM","2024-05-30T15:00:00","$1,025,000","false","House for sale","FOR_SALE","1025000","Open: Thu. 3-6pm","OPEN_HOUSE","71600242"
